Grad_date,Grad_rank,Grad_from,pilot_type,datetime,Year,Month
1945-04-15T00:00:00Z,2nd Lt,TAAF,Single engine,1945-04-15,1945,April
1943-04-29T00:00:00Z,2nd Lt,TAAF,Single engine,1943-04-29,1943,April
1944-10-16T00:00:00Z,2nd Lt,TAAF,Single engine,1944-10-16,1944,October
1944-02-08T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-02-08,1944,February
1944-11-20T00:00:00Z,2nd Lt,TAAF,Single engine,1944-11-20,1944,November
1944-04-15T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-04-15,1944,April
1943-06-30T00:00:00Z,2nd Lt,TAAF,Single engine,1943-06-30,1943,June
1945-06-27T00:00:00Z,2nd Lt,TAAF,Single engine,1945-06-27,1945,June
1946-06-28T00:00:00Z,2nd Lt,TAAF,Single engine,1946-06-28,1946,June
1943-03-25T00:00:00Z,2nd Lt,TAAF,Single engine,1943-03-25,1943,March
1944-12-28T00:00:00Z,Flight Officer,TAAF,Twin engine,1944-12-28,1944,December
1946-06-28T00:00:00Z,2nd Lt,TAAF,Twin engine,1946-06-28,1946,June
1943-10-01T00:00:00Z,2nd Lt,TAAF,Single engine,1943-10-01,1943,October
1944-11-20T00:00:00Z,2nd Lt,TAAF,Single engine,1944-11-20,1944,November
1944-09-08T00:00:00Z,2nd Lt,TAAF,Single engine,1944-09-08,1944,September
1944-10-16T00:00:00Z,1st Lt,TAAF,Twin engine,1944-10-16,1944,October
1944-02-01T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-02-01,1944,February
1944-04-15T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-04-15,1944,April
1943-07-28T00:00:00Z,2nd Lt,TAAF,Single engine,1943-07-28,1943,July
1944-06-27T00:00:00Z,Flight Officer,TAAF,Single engine,1944-06-27,1944,June
1944-09-08T00:00:00Z,Flight Officer,TAAF,Single engine,1944-09-08,1944,September
1945-11-20T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-11-20,1945,November
1942-07-03T00:00:00Z,2nd Lt,TAAF,Single engine,1942-07-03,1942,July
1944-02-01T00:00:00Z,2nd Lt,TAAF,Single engine,1944-02-01,1944,February
1944-02-08T00:00:00Z,NA,TAAF,Single engine,1944-02-08,1944,February
1943-04-29T00:00:00Z,2nd Lt,TAAF,Single engine,1943-04-29,1943,April
1943-07-28T00:00:00Z,2nd Lt,TAAF,Single engine,1943-07-28,1943,July
1945-05-23T00:00:00Z,Flight Officer,TAAF,Single engine,1945-05-23,1945,May
1945-08-04T00:00:00Z,2nd Lt,TAAF,Single engine,1945-08-04,1945,August
1943-12-07T00:00:00Z,1st Lt,TAAF,Liaison pilot,1943-12-07,1943,December
1945-11-20T00:00:00Z,Flight Officer,TAAF,Twin engine,1945-11-20,1945,November
1943-08-30T00:00:00Z,2nd Lt,TAAF,Single engine,1943-08-30,1943,August
1946-03-23T00:00:00Z,Flight Officer,TAAF,Single engine,1946-03-23,1946,March
1944-09-08T00:00:00Z,2nd Lt,TAAF,Single engine,1944-09-08,1944,September
1944-04-15T00:00:00Z,2nd Lt,TAAF,Single engine,1944-04-15,1944,April
1945-08-04T00:00:00Z,Flight Officer,TAAF,Single engine,1945-08-04,1945,August
1943-07-28T00:00:00Z,2nd Lt,TAAF,Single engine,1943-07-28,1943,July
1946-03-23T00:00:00Z,Flight Officer,TAAF,Twin engine,1946-03-23,1946,March
1943-12-07T00:00:00Z,2nd Lt,TAAF,Liaison pilot,1943-12-07,1943,December
1942-11-10T00:00:00Z,2nd Lt,TAAF,Single engine,1942-11-10,1942,November
1945-04-15T00:00:00Z,2nd Lt,TAAF,Single engine,1945-04-15,1945,April
1946-06-28T00:00:00Z,2nd Lt,TAAF,Single engine,1946-06-28,1946,June
1944-11-20T00:00:00Z,Flight Officer,TAAF,Single engine,1944-11-20,1944,November
1944-02-01T00:00:00Z,2nd Lt,TAAF,Single engine,1944-02-01,1944,February
1944-04-15T00:00:00Z,Flight Officer,TAAF,Single engine,1944-04-15,1944,April
1944-05-23T00:00:00Z,2nd Lt,TAAF,Single engine,1944-05-23,1944,May
1943-10-22T00:00:00Z,2nd Lt,TAAF,Liaison pilot,1943-10-22,1943,October
1946-01-29T00:00:00Z,2nd Lt,TAAF,Single engine,1946-01-29,1946,January
1945-11-20T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-11-20,1945,November
1945-03-11T00:00:00Z,Flight Officer,TAAF,Single engine,1945-03-11,1945,March
1944-02-01T00:00:00Z,Flight Officer,TAAF,Single engine,1944-02-01,1944,February
1945-06-27T00:00:00Z,Flight Officer,TAAF,Single engine,1945-06-27,1945,June
1944-08-04T00:00:00Z,2nd Lt,TAAF,Single engine,1944-08-04,1944,August
1943-09-30T00:00:00Z,2nd Lt,TAAF,Liaison pilot,1943-09-30,1943,September
1943-10-22T00:00:00Z,2nd Lt,TAAF,Liaison pilot,1943-10-22,1943,October
1943-12-05T00:00:00Z,2nd Lt,TAAF,Twin engine,1943-12-05,1943,December
1943-08-30T00:00:00Z,2nd Lt,TAAF,Single engine,1943-08-30,1943,August
1945-06-27T00:00:00Z,2nd Lt,TAAF,Single engine,1945-06-27,1945,June
1944-01-07T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-01-07,1944,January
1944-12-28T00:00:00Z,Flight Officer,TAAF,Single engine,1944-12-28,1944,December
1944-12-28T00:00:00Z,Flight Officer,TAAF,Single engine,1944-12-28,1944,December
1943-12-05T00:00:00Z,2nd Lt,TAAF,Single engine,1943-12-05,1943,December
1945-09-08T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-09-08,1945,September
1942-07-03T00:00:00Z,2nd Lt,TAAF,Single engine,1942-07-03,1942,July
1944-05-23T00:00:00Z,2nd Lt,TAAF,Single engine,1944-05-23,1944,May
1944-09-08T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-09-08,1944,September
1944-02-01T00:00:00Z,Flight Officer,TAAF,Single engine,1944-02-01,1944,February
1943-03-25T00:00:00Z,2nd Lt,TAAF,Single engine,1943-03-25,1943,March
1943-12-05T00:00:00Z,2nd Lt,TAAF,Single engine,1943-12-05,1943,December
1944-05-23T00:00:00Z,Flight Officer,TAAF,Single engine,1944-05-23,1944,May
1944-04-15T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-04-15,1944,April
1944-02-08T00:00:00Z,2nd Lt,TAAF,Single engine,1944-02-08,1944,February
1943-08-30T00:00:00Z,2nd Lt,TAAF,Single engine,1943-08-30,1943,August
1943-12-05T00:00:00Z,2nd Lt,TAAF,Twin engine,1943-12-05,1943,December
1944-03-12T00:00:00Z,2nd Lt,TAAF,Single engine,1944-03-12,1944,March
1944-11-20T00:00:00Z,2nd Lt,TAAF,Single engine,1944-11-20,1944,November
1943-12-07T00:00:00Z,2nd Lt,TAAF,Liaison pilot,1943-12-07,1943,December
1946-03-23T00:00:00Z,Flight Officer,TAAF,Single engine,1946-03-23,1946,March
1943-05-28T00:00:00Z,2nd Lt,TAAF,Single engine,1943-05-28,1943,May
1943-06-30T00:00:00Z,2nd Lt,TAAF,Single engine,1943-06-30,1943,June
1945-03-11T00:00:00Z,Flight Officer,TAAF,Single engine,1945-03-11,1945,March
1945-08-04T00:00:00Z,Flight Officer,TAAF,Twin engine,1945-08-04,1945,August
1943-12-07T00:00:00Z,2nd Lt,TAAF,Liaison pilot,1943-12-07,1943,December
1943-05-28T00:00:00Z,2nd Lt,TAAF,Single engine,1943-05-28,1943,May
1942-04-29T00:00:00Z,2nd Lt,TAAF,Single engine,1942-04-29,1942,April
1943-10-22T00:00:00Z,1st Lt,TAAF,Liaison pilot,1943-10-22,1943,October
1945-04-15T00:00:00Z,Flight Officer,TAAF,Single engine,1945-04-15,1945,April
1944-08-04T00:00:00Z,Flight Officer,TAAF,Twin engine,1944-08-04,1944,August
1943-04-29T00:00:00Z,2nd Lt,TAAF,Single engine,1943-04-29,1943,April
1943-10-01T00:00:00Z,2nd Lt,TAAF,Single engine,1943-10-01,1943,October
1944-09-08T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-09-08,1944,September
1945-08-04T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-08-04,1945,August
1944-05-23T00:00:00Z,2nd Lt,TAAF,Single engine,1944-05-23,1944,May
1944-08-04T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-08-04,1944,August
1943-11-03T00:00:00Z,2nd Lt,TAAF,Single engine,1943-11-03,1943,November
1944-10-16T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-10-16,1944,October
1944-02-01T00:00:00Z,Flight Officer,TAAF,Single engine,1944-02-01,1944,February
1945-09-08T00:00:00Z,2nd Lt,TAAF,Single engine,1945-09-08,1945,September
1944-09-08T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-09-08,1944,September
1943-11-03T00:00:00Z,2nd Lt,TAAF,Single engine,1943-11-03,1943,November
1944-03-12T00:00:00Z,2nd Lt,TAAF,Single engine,1944-03-12,1944,March
1944-03-12T00:00:00Z,2nd Lt,TAAF,Single engine,1944-03-12,1944,March
1943-10-01T00:00:00Z,2nd Lt,TAAF,Single engine,1943-10-01,1943,October
1944-08-04T00:00:00Z,Flight Officer,TAAF,Twin engine,1944-08-04,1944,August
1942-09-06T00:00:00Z,2nd Lt,TAAF,Single engine,1942-09-06,1942,September
1945-06-27T00:00:00Z,2nd Lt,TAAF,Single engine,1945-06-27,1945,June
1945-08-04T00:00:00Z,Flight Officer,TAAF,Twin engine,1945-08-04,1945,August
1944-12-28T00:00:00Z,Flight Officer,TAAF,Single engine,1944-12-28,1944,December
1945-06-27T00:00:00Z,Flight Officer,TAAF,Single engine,1945-06-27,1945,June
1945-03-11T00:00:00Z,2nd Lt,TAAF,Single engine,1945-03-11,1945,March
1948-10-12T00:00:00Z,2nd Lt,"Williams AFB, AZ",Single engine,1948-10-12,1948,October
1946-05-14T00:00:00Z,NA,TAAF,Twin engine,1946-05-14,1946,May
1944-12-28T00:00:00Z,2nd Lt,TAAF,Single engine,1944-12-28,1944,December
1943-05-28T00:00:00Z,2nd Lt,TAAF,Single engine,1943-05-28,1943,May
1946-03-23T00:00:00Z,2nd Lt,TAAF,Single engine,1946-03-23,1946,March
1944-01-07T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-01-07,1944,January
1943-12-05T00:00:00Z,2nd Lt,TAAF,Twin engine,1943-12-05,1943,December
1942-10-09T00:00:00Z,2nd Lt,TAAF,Single engine,1942-10-09,1942,October
1945-03-11T00:00:00Z,2nd Lt,TAAF,Single engine,1945-03-11,1945,March
1942-09-06T00:00:00Z,2nd Lt,TAAF,Single engine,1942-09-06,1942,September
1944-10-16T00:00:00Z,Flight Officer,TAAF,Twin engine,1944-10-16,1944,October
1944-03-12T00:00:00Z,2nd Lt,TAAF,Single engine,1944-03-12,1944,March
1944-11-20T00:00:00Z,Flight Officer,TAAF,Single engine,1944-11-20,1944,November
1943-11-03T00:00:00Z,2nd Lt,TAAF,Single engine,1943-11-03,1943,November
1948-10-12T00:00:00Z,2nd Lt,"Williams AFB, AZ",Single engine,1948-10-12,1948,October
1944-12-28T00:00:00Z,Flight Officer,TAAF,Single engine,1944-12-28,1944,December
1944-12-28T00:00:00Z,2nd Lt,TAAF,Single engine,1944-12-28,1944,December
1945-03-11T00:00:00Z,2nd Lt,TAAF,Single engine,1945-03-11,1945,March
1942-07-03T00:00:00Z,2nd Lt,TAAF,Single engine,1942-07-03,1942,July
1944-09-08T00:00:00Z,2nd Lt,TAAF,Single engine,1944-09-08,1944,September
NA,Flight Officer,TAAF,Service pilot,NA,NA,NA
1944-11-20T00:00:00Z,2nd Lt,TAAF,Single engine,1944-11-20,1944,November
1943-11-03T00:00:00Z,2nd Lt,TAAF,Single engine,1943-11-03,1943,November
1945-11-20T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-11-20,1945,November
1945-06-27T00:00:00Z,Flight Officer,TAAF,Single engine,1945-06-27,1945,June
1946-03-23T00:00:00Z,Flight Officer,TAAF,Twin engine,1946-03-23,1946,March
1942-07-03T00:00:00Z,2nd Lt,TAAF,Single engine,1942-07-03,1942,July
1943-04-29T00:00:00Z,2nd Lt,TAAF,Single engine,1943-04-29,1943,April
1944-02-01T00:00:00Z,2nd Lt,TAAF,Single engine,1944-02-01,1944,February
1946-06-28T00:00:00Z,2nd Lt,TAAF,Single engine,1946-06-28,1946,June
1945-04-15T00:00:00Z,Flight Officer,TAAF,Single engine,1945-04-15,1945,April
1943-07-28T00:00:00Z,NA,TAAF,Single engine,1943-07-28,1943,July
1946-03-23T00:00:00Z,2nd Lt,TAAF,Single engine,1946-03-23,1946,March
1944-02-08T00:00:00Z,2nd Lt,TAAF,Single engine,1944-02-08,1944,February
1942-11-10T00:00:00Z,2nd Lt,TAAF,Single engine,1942-11-10,1942,November
1943-10-22T00:00:00Z,2nd Lt,TAAF,Liaison pilot,1943-10-22,1943,October
1944-04-15T00:00:00Z,2nd Lt,TAAF,Single engine,1944-04-15,1944,April
1943-12-05T00:00:00Z,2nd Lt,TAAF,Twin engine,1943-12-05,1943,December
1946-06-28T00:00:00Z,2nd Lt,TAAF,Single engine,1946-06-28,1946,June
1945-09-08T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-09-08,1945,September
1946-06-28T00:00:00Z,2nd Lt,TAAF,Single engine,1946-06-28,1946,June
1944-10-16T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-10-16,1944,October
1944-05-23T00:00:00Z,Flight Officer,TAAF,Single engine,1944-05-23,1944,May
1945-08-04T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-08-04,1945,August
1943-04-29T00:00:00Z,2nd Lt,TAAF,Single engine,1943-04-29,1943,April
1944-05-23T00:00:00Z,2nd Lt,TAAF,Single engine,1944-05-23,1944,May
1942-07-03T00:00:00Z,2nd Lt,TAAF,Single engine,1942-07-03,1942,July
1945-05-23T00:00:00Z,2nd Lt,TAAF,Single engine,1945-05-23,1945,May
1945-03-11T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-03-11,1945,March
1943-12-07T00:00:00Z,1st Lt,TAAF,Liaison pilot,1943-12-07,1943,December
1944-02-01T00:00:00Z,2nd Lt,TAAF,Single engine,1944-02-01,1944,February
1943-10-22T00:00:00Z,2nd Lt,TAAF,Liaison pilot,1943-10-22,1943,October
1944-02-08T00:00:00Z,2nd Lt,TAAF,Single engine,1944-02-08,1944,February
1945-06-27T00:00:00Z,2nd Lt,TAAF,Single engine,1945-06-27,1945,June
1945-10-16T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-10-16,1945,October
1944-02-01T00:00:00Z,Flight Officer,TAAF,Single engine,1944-02-01,1944,February
1944-12-28T00:00:00Z,Flight Officer,TAAF,Single engine,1944-12-28,1944,December
1944-09-08T00:00:00Z,2nd Lt,TAAF,Single engine,1944-09-08,1944,September
1944-04-15T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-04-15,1944,April
1945-03-11T00:00:00Z,2nd Lt,TAAF,Single engine,1945-03-11,1945,March
1944-10-16T00:00:00Z,Flight Officer,TAAF,Twin engine,1944-10-16,1944,October
1945-08-04T00:00:00Z,Flight Officer,TAAF,Single engine,1945-08-04,1945,August
1945-06-27T00:00:00Z,2nd Lt,TAAF,Single engine,1945-06-27,1945,June
1943-12-07T00:00:00Z,2nd Lt,TAAF,Liaison pilot,1943-12-07,1943,December
1944-04-15T00:00:00Z,Flight Officer,TAAF,Twin engine,1944-04-15,1944,April
1944-09-08T00:00:00Z,Flight Officer,TAAF,Single engine,1944-09-08,1944,September
1945-09-08T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-09-08,1945,September
1945-06-27T00:00:00Z,Flight Officer,TAAF,Single engine,1945-06-27,1945,June
1944-04-15T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-04-15,1944,April
1944-09-08T00:00:00Z,2nd Lt,TAAF,Single engine,1944-09-08,1944,September
1944-12-28T00:00:00Z,Flight Officer,TAAF,Twin engine,1944-12-28,1944,December
1944-04-15T00:00:00Z,2nd Lt,TAAF,Single engine,1944-04-15,1944,April
1944-02-01T00:00:00Z,Flight Officer,TAAF,Single engine,1944-02-01,1944,February
1944-04-15T00:00:00Z,2nd Lt,TAAF,Single engine,1944-04-15,1944,April
1948-10-12T00:00:00Z,2nd Lt,"Williams AFB, AZ",Single engine,1948-10-12,1948,October
1948-10-12T00:00:00Z,2nd Lt,"Williams AFB, AZ",Single engine,1948-10-12,1948,October
1945-04-15T00:00:00Z,Flight Officer,TAAF,Twin engine,1945-04-15,1945,April
1943-03-25T00:00:00Z,2nd Lt,TAAF,Single engine,1943-03-25,1943,March
1943-10-01T00:00:00Z,Flight Officer,TAAF,Single engine,1943-10-01,1943,October
1944-02-01T00:00:00Z,Flight Officer,TAAF,Twin engine,1944-02-01,1944,February
1945-03-11T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-03-11,1945,March
1943-10-22T00:00:00Z,2nd Lt,TAAF,Liaison pilot,1943-10-22,1943,October
1945-08-04T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-08-04,1945,August
1945-09-08T00:00:00Z,2nd Lt,TAAF,Single engine,1945-09-08,1945,September
1945-04-15T00:00:00Z,2nd Lt,TAAF,Single engine,1945-04-15,1945,April
1943-07-28T00:00:00Z,2nd Lt,TAAF,Single engine,1943-07-28,1943,July
1945-03-11T00:00:00Z,Flight Officer,TAAF,Twin engine,1945-03-11,1945,March
1942-03-06T00:00:00Z,2nd Lt,TAAF,Single engine,1942-03-06,1942,March
1945-09-08T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-09-08,1945,September
1943-08-30T00:00:00Z,2nd Lt,TAAF,Single engine,1943-08-30,1943,August
1943-07-28T00:00:00Z,2nd Lt,TAAF,Single engine,1943-07-28,1943,July
1943-12-05T00:00:00Z,2nd Lt,TAAF,Single engine,1943-12-05,1943,December
1944-10-16T00:00:00Z,Flight Officer,TAAF,Single engine,1944-10-16,1944,October
1944-01-07T00:00:00Z,Flight Officer,TAAF,Twin engine,1944-01-07,1944,January
1944-03-12T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-03-12,1944,March
1943-11-03T00:00:00Z,2nd Lt,TAAF,Single engine,1943-11-03,1943,November
1944-05-23T00:00:00Z,2nd Lt,TAAF,Single engine,1944-05-23,1944,May
1943-03-25T00:00:00Z,2nd Lt,TAAF,Single engine,1943-03-25,1943,March
1942-03-06T00:00:00Z,Capt,TAAF,Single engine,1942-03-06,1942,March
1944-08-04T00:00:00Z,1st Lt,TAAF,Twin engine,1944-08-04,1944,August
1945-09-08T00:00:00Z,Flight Officer,TAAF,Twin engine,1945-09-08,1945,September
1945-09-08T00:00:00Z,2nd Lt,TAAF,Single engine,1945-09-08,1945,September
1945-06-04T00:00:00Z,2nd Lt,"Stewart Field, NY",Single engine,1945-06-04,1945,June
1944-05-23T00:00:00Z,2nd Lt,TAAF,Single engine,1944-05-23,1944,May
1942-08-05T00:00:00Z,2nd Lt,TAAF,Single engine,1942-08-05,1942,August
1945-09-08T00:00:00Z,2nd Lt,TAAF,Single engine,1945-09-08,1945,September
1944-03-12T00:00:00Z,2nd Lt,TAAF,Single engine,1944-03-12,1944,March
1942-03-06T00:00:00Z,2nd Lt,TAAF,Single engine,1942-03-06,1942,March
1942-09-06T00:00:00Z,2nd Lt,TAAF,Single engine,1942-09-06,1942,September
1946-05-14T00:00:00Z,NA,TAAF,Twin engine,1946-05-14,1946,May
1945-04-15T00:00:00Z,Flight Officer,TAAF,Twin engine,1945-04-15,1945,April
1943-11-03T00:00:00Z,2nd Lt,TAAF,Single engine,1943-11-03,1943,November
1945-10-16T00:00:00Z,Flight Officer,TAAF,Single engine,1945-10-16,1945,October
1944-11-20T00:00:00Z,Flight Officer,TAAF,Single engine,1944-11-20,1944,November
1944-12-28T00:00:00Z,Flight Officer,TAAF,Single engine,1944-12-28,1944,December
1943-03-25T00:00:00Z,2nd Lt,TAAF,Single engine,1943-03-25,1943,March
1943-12-05T00:00:00Z,2nd Lt,TAAF,Single engine,1943-12-05,1943,December
1944-02-08T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-02-08,1944,February
1946-01-29T00:00:00Z,2nd Lt,TAAF,Twin engine,1946-01-29,1946,January
1946-01-29T00:00:00Z,2nd Lt,TAAF,Twin engine,1946-01-29,1946,January
1944-08-04T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-08-04,1944,August
1944-10-16T00:00:00Z,2nd Lt,TAAF,Single engine,1944-10-16,1944,October
1945-03-11T00:00:00Z,2nd Lt,TAAF,Twin engine,1945-03-11,1945,March
1943-08-30T00:00:00Z,2nd Lt,TAAF,Single engine,1943-08-30,1943,August
1945-03-11T00:00:00Z,Flight Officer,TAAF,Single engine,1945-03-11,1945,March
1944-10-16T00:00:00Z,2nd Lt,TAAF,Single engine,1944-10-16,1944,October
1943-02-16T00:00:00Z,2nd Lt,TAAF,Single engine,1943-02-16,1943,February
1944-01-07T00:00:00Z,Flight Officer,TAAF,Single engine,1944-01-07,1944,January
1942-10-09T00:00:00Z,2nd Lt,TAAF,Single engine,1942-10-09,1942,October
1944-10-16T00:00:00Z,2nd Lt,TAAF,Twin engine,1944-10-16,1944,October
1946-06-28T00:00:00Z,2nd Lt,TAAF,Single engine,1946-06-28,1946,June
1942-04-29T00:00:00Z,2nd Lt,TAAF,Single engine,1942-04-29,1942,April
1943-10-22T00:00:00Z,1st Lt,TAAF,Liaison pilot,1943-10-22,1943,October
1945-04-15T00:00:00Z,2nd Lt,TAAF,Single engine,1945-04-15,1945,April
1944-01-07T00:00:00Z,2nd Lt,TAAF,Single engine,1944-01-07,1944,January
1945-08-04T00:00:00Z,2nd Lt,TAAF,Single engine,1945-08-04,1945,August
1943-09-30T00:00:00Z,2nd Lt,TAAF,Liaison pilot,1943-09-30,1943,September
1943-03-25T00:00:00Z,2nd Lt,TAAF,Single engine,1943-03-25,1943,March
1943-09-30T00:00:00Z,2nd Lt,TAAF,Liaison pilot,1943-09-30,1943,September
1943-08-30T00:00:00Z,2nd Lt,TAAF,Single engine,1943-08-30,1943,August
1943-04-29T00:00:00Z,2nd Lt,TAAF,Single engine,1943-04-29,1943,April
